Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 As the Crow Flies,Drama,2022–,"'Birce Akalay', 'Miray Daner', 'Ibrahim Celikkol', 'Irem Sak'",2,16,6.3,Ay Yapim,"'Deniz Yorulmazer', 'Koray Kerimoglu'",'Meriç Acemi',45,0
 Persona,"Crime, Drama, Mystery",2018–,"'Haluk Bilginer', 'Sebnem Bozoklu', 'Recep Usta', 'Cansu Dere'",2,20,9.0,Ay Yapim,'Onur Saylak','Hakan Gunday',60,0
 The Family,"Action, Crime, Drama",2023–,"'Kivanç Tatlitug', 'Serenay Sarikaya', 'Nur Sürer', 'Nejat Isler'",2,25,6.6,"'Ay Yapim', 'Show TV'","'Ahmet Katiksiz', 'Gökçen Usta'","'Hakan Bonomo', 'Adilcan Güresçi'",137,0
 Wild Heart,"Drama, Romance",2023–,"'Halit Özgür Sari', 'Simay Barlas', 'Yurdaer Okur', 'Dolunay Soysert'",1,16,7.3,NTC Medya,'Çagatay Tosun',"'Serap Gazel', 'Çisem Katilmaz'",144,0
 Love Is in the Air,"Comedy, Romance",2020–2021,"'Hande Erçel', 'Kerem Bürsin', 'Evrim Dogan', 'Anil Ilter'",2,52,7.3,MF Yapim,"'Altan Dönmez', 'Ender Mihlar'","'Ayse Kutlu', 'Erdem Açikgöz'",120,1
 Family Secrets,"Crime, Drama",2021–,"'Kaan Urgancioglu', 'Pinar Deniz', 'Hüseyin Avni Danyal', 'Zeyno Eracar'",3,80,8.4,Ay Yapim,"'Ali Bilgin', 'Beste Sultan Kasapogullari'","'Sema Ergenekon', 'Sema Ergenekon'",150,0
 The Pit,"Action, Crime, Thriller",2016–2021,"'Aras Bulut Iynemli', 'Erkan Kolçak Köstendil', 'Riza Kocaoglu', 'Cem Uslu'",4,132,7.6,Ay Yapim,"'Sinan Ozturk', 'Özgür Sevimli'","'Gökhan Horzum', 'Damla Serim'",120,1
 Golden Boy,"Drama, Romance",2022–,"'Afra Saraçoglu', 'Mert Ramazan Demir', 'Gülçin Santircioglu', 'Emre Altug'",2,51,6.2,OGM Pictures,"'Burcu Alptekin', 'Alptekin Bozkurt'","'Gülseren Budayicioglu', 'Mehmet Baris Günger'",120,0
 The Tailor,"Drama, Mystery, Thriller",2023,"'Çagatay Ulusoy', 'Salih Bademci', 'Sifanur Gül', 'Olgun Simsek'",3,23,6.2,OGM Pictures,'Cem Karci',"'Gülseren Budayicioglu', 'Onur Güvenatam'",45,1
 Dirilis: Ertugrul,"Action, Adventure, Drama",2014–2019,"'Engin Altan Düzyatan', 'Hülya Darcan', 'Cengiz Coskun', 'Nurettin Sönmez'",5,179,7.9,"'TRT', 'Tekden Film'","'Metin Günay', 'Akif Özkan'","'Mehmet Bozdag', 'Mehmet Bozdag'",120,1
 Çekiç ve Gül: Bir Behzat Ç,"Action, Crime, Drama",2022–,"'Erdal Besikçioglu', 'Inanç Konukçu', 'Berkan Sal', 'Evliya Aykan'",2,11,8.6,Ortaks Yapim,'Devrim Yalçin',"'Emrah Serbes', 'Ercan Ugur'",45,0
 Another Love,"Crime, Drama, Romance",2023,"'Burak Deniz', 'Hande Erçel', 'Cem Davran', 'Gülçin Hatihan'",1,15,7.2,Tims & B Productions,"'Neslihan Yesilyurt', 'Özlem Günhan'","'Tolga Aydin', 'Tolga Aydin'",130,1
 The Protector,"Action, Adventure, Drama",2018–2020,"'Çagatay Ulusoy', 'Hazar Ergüçlü', 'Okan Yalabik', 'Burçin Terzioglu'",4,32,6.5,"'O3 Medya', 'Netflix Studios', 'Netflix'","'Umut Aral', 'Gonenc Uyanik'","'N. Ipek Gökdel', 'N. Ipek Gökdel'",40,1
 Endless Love,"Drama, Romance",2015–2017,"'Burak Özçivit', 'Neslihan Atagül', 'Kaan Urgancioglu', 'Orhan Güner'",2,89,7.4,Ay Yapim,"'Hilal Saral', 'Ekin Pandir'","'Burcu Görgün', 'Burcu Görgün'",90,1
 My Name Is Farah,"Action, Crime, Drama",2023,"'Engin Akyürek', 'Demet Özdemir', 'Firat Tanis', 'Lale Basar'",2,26,6.4,O3 Medya,"'Recai Karagöz', 'Adem Demir'","'Cenk Bogatur', 'Deniz Dargi'",139,1
 Establishment: Osman,"Action, Adventure, Drama",2019–,"'Burak Özçivit', 'Özge Törer', 'Yigit Ucan', 'Cagri Sensoy'",5,141,7.6,"'ATV', 'Bozdag Film', 'Tekden Film'","'Ahmet Yilmaz', 'Fethi Bayram'","'Asli Zeynep Peker Bozdag', 'Asli Zeynep Peker Bozdag'",120,0
 Ezel,"Crime, Drama, Thriller",2009–2011,"'Kenan Imirzalioglu', 'Cansu Dere', 'Yigit Özsener', 'Baris Falay'",2,71,8.7,Ay Yapim,"'Uluç Bayraktar', 'Mert Akbas'","'Pinar Bulut', 'Pinar Bulut'",90,1
 Cranberry Sorbet,"Drama, Romance",2022–,"'Baris Kilic', 'Evrim Alasya', 'Sila Turkoglu', 'Sibel Tasçioglu'",2,42,6.7,Gold Film,'Ketche',"'Ezgi Ayaz', 'Melis Civelek'",61,0
 Forbidden Apple,"Drama, Romance",2018–2023,"'Sevval Sam', 'Eda Ece', 'Baris Aytac', 'Vildan Vatansever'",6,177,5.8,"'Fox TV', 'Medyapim', 'Medyapim'","'Neslihan Yesilyurt', 'Ece Erdek Koçoglu'","'Melis Civelek', 'Zeynep Gür'",120,1
 Daydreamer,"Comedy, Romance",2018–2019,"'Demet Özdemir', 'Can Yaman', 'Öznur Serçeler', 'Berat Yenilmez'",1,51,7.4,"'Gold Film', 'Gold Yapim'","'Cagri Bayrak', 'Aytac Cicek'","'Meriç Acemi', 'Yesim Citak'",120,1
 Forbidden Love,"Drama, Romance",2008–2010,"'Beren Saat', 'Kivanç Tatlitug', 'Nebahat Çehre', 'Hazal Kaya'",2,79,7.7,"'Ay Yapim', 'Netflix'",'Hilal Saral',"'Melek Gençoglu', 'Isil Sonmez'",90,1
 Love for Rent,"Comedy, Romance",2015–2017,"'Elçin Sangu', 'Baris Arduç', 'Salih Bademci', 'Nergis Kumbasar'",2,69,7.3,Ortaks Yapim,"'Senol Sönmez', 'Baris Yös'","'Meriç Acemi', 'Meriç Acemi'",120,1
 The Unfaithful,"Drama, Thriller",2020–2022,"'Cansu Dere', 'Caner Cindoruk', 'Melis Sezen', 'Özge Özder'",2,60,6.5,"'Mednova', 'Medyapim'","'Neslihan Yesilyurt', 'Levent Turkan'","'Mike Bartlett', 'Merve Girgin'",120,1
 Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery",2010–2019,"'Erdal Besikçioglu', 'Inanç Konukçu', 'Ege Aydan', 'Berkan Sal'",4,105,8.9,"'Adam Film', 'Inter Medya'","'Serdar Akar', 'Dogan Ümit Karaca'","'Ercan Mehmet Erdem', 'Ercan Mehmet Erdem'",90,1
 Ne Gemiler Yaktim,Drama,2023–,"'Deniz Baysal', 'Devrim Özkan', 'Berk Hakman', 'Erkan Kolçak Köstendil'",1,3,6.7,"'Adam Film', 'Inter Medya'",'Altan Dönmez',"'Banu Kiremitçi Bozkurt', 'Banu Kiremitçi Bozkurt'",61,0
 The Club,Drama,2021–2023,"'Gökçe Bahadir', 'Baris Arduç', 'Asude Kalebek', 'Firat Tanis'",2,20,7.8,O3 Medya,"'Zeynep Gunay Tan', 'Seren Yüce'","'Rana Denizer', 'Rana Denizer'",55,1
 Leyla and Mecnun,"Adventure, Comedy, Drama",2011–2023,"'Ali Atay', 'Serkan Keskin', 'Osman Sonant', 'Ahmet Mümtaz Taylan'",7,144,9.1,"'Eflatun Film', 'Paradox Film'","'Onur Ünlü', 'Eyüp Boz'","'Burak Aksak', 'Hamza Asgin'",80,1
 Sandik Kokusu,Drama,2023–,"'Özge Özpirinçci', 'Demet Akbag', 'Necip Memili', 'Sahin Sancak'",1,2,5.5,"'Eflatun Film', 'Paradox Film'",'Nezaket Coskun',"'Melis Civelek', 'Zeynep Gür'",61,0
 Boundless Love,"Action, Drama",2023–,"'Deniz Can Aktas', 'Miray Daner', 'Esra Dermancioglu', 'Asuman Dabak'",1,13,6.7,"'Eflatun Film', 'Paradox Film'",'Murat Öztürk',"'Berna Aruz', 'Haydar Sisman'",61,0
 Saladin: The Conquerer of Jerusalem,"Action, History",2023–,"'Ugur Günes', 'Dilin Doger', 'Mehmet Ali Nuroglu', 'Murat Han'",1,5,5.0,"'Akli Film', 'Ansari Shah Films'",'Sedat Inci',"'Feyza Altindal', 'Hasan Emirez'",61,0
 Bitter Lands,Drama,2018–2022,"'Hilal Altinbilek', 'Bülent Polat', 'Sibel Tasçioglu', 'Polen Emre'",4,141,5.3,"'ATV', 'Tims & B Productions'","'Evren Karabiyik Günaydin', 'Murat Saraçoglu'","'Derem Ciray', 'Su Ersöz'",120,1
